agency,agency_code,pen_year,company,city,county,street_address,state,zip,description,naics,info_source,notes,unique_id,current_parent_name,curr_ISIN,curr_cik,load_day,penalty,sub_penalty,penalty_adjusted,orig_id,civil_criminal,npa_dpa,offense_group,primary_offense,secondary_offense,naics_tr,case_id,facility_name,penalty_date,govt_level,case_category,court,litigation_case_title,lawsuit_resolution,pacer_link,reporting_date_parent,hist_ISIN,hist_cik,history_recap
Occupational Safety & Health Administration,OSHA,2022,ABM INDUSTRIES,STERLING HEIGHTS,,6600 18 MILE RD,MI,48314,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5640109,ABM Industries,US0009571003,771497,20220918,6300,0,6300,345797112,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,ABM INDUSTRIES,20220223,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2019,"ABM Industries Groups, LLC",Norfolk,,"5425 Robin Hood Rd, Suite 206",VA,23513,,561720,"February 7, 2020 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",3402443,ABM Industries,US0009571003,771497,20200309,22000,0,22000,,civil,,employment-related offenses,Family and Medical Leave Act,,561720: Janitorial Services,1872615,,20190708,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2015,ABM INDUSTRIES INC,LOS ANGELES,,800 N ALAMEDA ST,CA,90012,,561790,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5552024,ABM Industries,US0009571003,771497,20220918,15750,0,15750,341065977,civil,,safety-related offenses,workplace safety or health violation,,561790: Other Services to Buildings and Dwellings,,ABM INDUSTRIES INC,20151120,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Equal Employment Opportunity Commission,EEOC,2010,ABM Industries Inc.,,,,CA,,Sexual Harassment,,https://www.eeoc.gov/eeoc/newsroom/release/9-2-10.cfm,Description field shows type of discrimination that EEOC had alleged.,211423,ABM Industries,US0009571003,771497,20170201,5800000,0,5800000,,civil,,employment-related offenses,employment discrimination,,,,,20100902,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Equal Employment Opportunity Commission,EEOC,2011,ABM Industries Inc.,,,,CA,,National Origin; Race,,https://www.eeoc.gov/eeoc/newsroom/release/9-14-11c.cfm,Description field shows type of discrimination that EEOC had alleged.,211586,ABM Industries,US0009571003,771497,20170201,180000,0,180000,,civil,,employment-related offenses,employment discrimination,,,,,20110914,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2012,ABM INDUSTRIES INC. DBA ABM ENGINEERING,SAN FRANCISCO,,121 SPEAR ST.,CA,94105,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5490421,ABM Industries,US0009571003,771497,20220918,5000,0,5000,312693120,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,ABM INDUSTRIES INC. DBA ABM ENGINEERING,20120509,federal,agency action,,,,,ABM Industries,US0009571003,771497,
California Labor Commissioner's Office,CA-LCO,2019,ABM Industries Incorporated,,,,CA,,Janitorial Services,561720,https://mycadir.force.com/s,"Status as of August 10, 2022: Closed - Satisfied",5185726,ABM Industries,US0009571003,771497,20220918,5035,0,5035,,civil,,employment-related offenses,wage and hour violation,,561720: Janitorial Services,J-68031,,20190425,state,agency action,,,,,ABM Industries,US0009571003,771497,
National Labor Relations Board,NLRB,2014,ABM Industries Incorporated,Birmingham,,,AL,,back pay award in unfair labor practices case,,Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.,,735151,ABM Industries,US0009571003,771497,20170602,18347,0,18347,10-CA-117679,civil,,employment-related offenses,labor relations violation,,,10-CA-117679,,20141105,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2008,ABM Industries Incorporated,Houston,,,TX,77074,,561612,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",710455,ABM Industries,US0009571003,771497,20170322,51435,0,51435,1540335,civil,,employment-related offenses,wage and hour violation,Service Contract Act,561612: Security Guards and Patrol Services,1540335,,20081031,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2009,ABM Industries Incorporated,New York,,,NY,10001,,561612,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",705475,ABM Industries,US0009571003,771497,20170322,34576,0,34576,1564649,civil,,employment-related offenses,wage and hour violation,Service Contract Act,561612: Security Guards and Patrol Services,1564649,,20091208,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2007,ABM Industries Incorporated,San Francisco,,,CA,94111,,5614,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",718840,ABM Industries,US0009571003,771497,20170322,22819,0,22819,1473920,civil,,employment-related offenses,wage and hour violation,Service Contract Act,5614: Business Support Services,1473920,,20070209,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2005,ABM Industries Incorporated,Santa Rosa,,,CA,95403,,561720,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",726760,ABM Industries,US0009571003,771497,20170322,20088,0,20088,1408832,civil,,employment-related offenses,wage and hour violation,Fair Labor Standards Act,561720: Janitorial Services,1408832,,20050606,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2019,ABM INDUSTRIES INCORPORATED,MILFORD,,1191 BOSTON POST ROAD,CT,6460,,561210,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5610464,ABM Industries,US0009571003,771497,20220918,10000,0,10000,344407309,civil,,safety-related offenses,workplace safety or health violation,,561210: Facilities Support Services,,ABM INDUSTRIES INCORPORATED,20191028,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2008,ABM Industries Incorporated,San Francisco,,,CA,94111,,561720,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",714218,ABM Industries,US0009571003,771497,20170322,7078,0,7078,1501667,civil,,employment-related offenses,wage and hour violation,Fair Labor Standards Act,561720: Janitorial Services,1501667,,20080131,federal,agency action,,,,,ABM Industries,US0009571003,771497,
National Labor Relations Board,NLRB,2001,ABM Industries Incorporated and Neiman Marcus,San Francisco,,,CA,94111,back pay award in unfair labor practices case,448140,Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml,,745674,ABM Industries,US0009571003,771497,20170602,50000,0,50000,02-CA-32694-001,civil,,employment-related offenses,labor relations violation,,448140: Family Clothing Stores,02-CA-32694-001,,20010628,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2011,"ABM Industries, Inc",Tampa,,,FL,33634,,561730,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",694824,ABM Industries,US0009571003,771497,20170322,10849,0,10849,1620778,civil,,employment-related offenses,wage and hour violation,Fair Labor Standards Act,561730: Landscaping Services,1620778,,20110926,federal,agency action,,,,,ABM Industries,US0009571003,771497,
California Labor Commissioner's Office,CA-LCO,2019,"ABM Industries, Inc.",,,,CA,,Other Support Activities for Transportation,48899,https://mycadir.force.com/s,"Status as of August 10, 2022: Closed - Satisfied",5184611,ABM Industries,US0009571003,771497,20220918,7939,0,7939,,civil,,employment-related offenses,wage and hour violation,,48899: Other Support Activities for Transportation,J-74256,,20191112,state,agency action,,,,,ABM Industries,US0009571003,771497,
,,2019,"ABM Industries, Inc.",,,,,,,,https://www.law360.com/corporate/articles/1194800/judge-oks-abm-s-terrific-5m-deal-ending-cellphone-suit,,3186088,ABM Industries,US0009571003,771497,20190907,5400000,0,5400000,,civil,,employment-related offenses,wage and hour violation,,,4:17-cv-3026,,20190903,federal,private litigation,Northern District of California,"Castro et al v. ABM Industries, Inc. et al",settlement,https://ecf.cand.uscourts.gov/cgi-bin/DktRpt.pl?312181,ABM Industries,US0009571003,771497,
,,2018,"ABM Industries, Inc.",,,,,,,,https://www.law360.com/articles/1067998/facilities-services-co-s-3m-wage-deal-gets-green-light,,3174540,ABM Industries,US0009571003,771497,20190323,3070300,0,3070300,,civil,,employment-related offenses,wage and hour violation,,,2:16-cv-0278,,20181220,federal,private litigation,Western District of Washington,"Hussein et al v. ABM Industries, Inc. et al",settlement,https://ecf.wawd.uscourts.gov/cgi-bin/DktRpt.pl?228286,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2015,"ABM INDUSTRIES, INC.",SAN JOSE,,898 SOUTH 2ND ST.,CA,95112,,238210,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5547669,ABM Industries,US0009571003,771497,20220918,32240,0,32240,340732866,civil,,safety-related offenses,workplace safety or health violation,,238210: Electrical Contractors,,"ABM INDUSTRIES, INC.",20150624,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2002,"ABM Industries, Inc.",Jefferson,,,LA,70123,,56172,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",733360,ABM Industries,US0009571003,771497,20170322,13767,0,13767,1235812,civil,,employment-related offenses,wage and hour violation,Fair Labor Standards Act,56172: Janitorial Services,1235812,,20021016,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2010,"ABM Industries, Incorporated",Chattanooga,,,TN,37411,,561720,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",701948,ABM Industries,US0009571003,771497,20170322,23868,0,23868,1599094,civil,,employment-related offenses,wage and hour violation,Service Contract Act,561720: Janitorial Services,1599094,,20100802,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2006,"ABM INDUSTRIES,INC. DBA ABM JANITORIAL SERVICES",SAN FRANCISCO,,329 BRANNAN STREET,CA,94107,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5468058,ABM Industries,US0009571003,771497,20220918,6935,0,6935,307395129,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,"ABM INDUSTRIES,INC. DBA ABM JANITORIAL SERVICES",20060419,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2018,ABM INDUSTRY GROUPS LLC,HONOLULU,,1580 MAKALOA ST,HI,96814,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5584785,ABM Industries,US0009571003,771497,20220918,31236,0,31236,343056727,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,ABM INDUSTRY GROUPS LLC,20180402,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2017,ABM INDUSTRY GROUPS LLC,BELLEVUE,,10885 NE 4TH ST,WA,98004,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5577868,ABM Industries,US0009571003,771497,20220918,25000,0,25000,342688330,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,ABM INDUSTRY GROUPS LLC,20170928,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2017,ABM Industry Groups LLC,Los Angeles,,1150 S Olive St,CA,90015,,561720,"February 7, 2020 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",3406504,ABM Industries,US0009571003,771497,20200309,22653,0,22653,,civil,,employment-related offenses,wage and hour violation,Service Contract Act,561720: Janitorial Services,1827351,,20171010,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2017,ABM INDUSTRY GROUPS LLC,BURBANK,,3900 W ALAMEDA ST,CA,91505,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5579456,ABM Industries,US0009571003,771497,20220918,18000,0,18000,342768629,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,ABM INDUSTRY GROUPS LLC,20171108,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2020,ABM INDUSTRY GROUPS LLC,KENT,,21005 S 64TH AVE S,WA,98032,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5620652,ABM Industries,US0009571003,771497,20220918,6600,0,6600,344928254,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,ABM INDUSTRY GROUPS LLC,20200909,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Equal Employment Opportunity Commission,EEOC,2021,"ABM Industry Groups, LLC",,,,CA,,sexual harassment,,https://www.eeoc.gov/newsroom/abm-industry-groups-pay-310000-settle-eeoc-class-sexual-harassment-charges,,4198214,ABM Industries,US0009571003,771497,20211216,310000,0,310000,,civil,,employment-related offenses,employment discrimination,,,,,20210916,federal,agency action,,,,,ABM Industries,US0009571003,771497,
California Labor Commissioner's Office,CA-LCO,2021,"ABM Industry Groups, LLC",,,,CA,,Janitorial Services,561720,https://mycadir.force.com/s,"Status as of August 10, 2022 as stated on website (may not reflect payment): Open",5182099,ABM Industries,US0009571003,771497,20220918,6704,0,6704,,civil,,employment-related offenses,wage and hour violation,,561720: Janitorial Services,J-83170,,20210726,state,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2017,"ABM Industry Groups, LLC",Philadelphia,,"1650 Arch Street, Suite 2200",PA,19103,,561720,"May 1, 2018 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",2096215,ABM Industries,US0009571003,771497,20180506,7847,0,7847,,civil,,employment-related offenses,wage and hour violation,Service Contract Act,561720: Janitorial Services,1825972,,20170731,federal,agency action,,,,,ABM Industries,US0009571003,771497,
National Labor Relations Board,NLRB,2019,"ABM Industry Groups, LLC",Ny,,,NY,,,,Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.,,3418012,ABM Industries,US0009571003,771497,20200615,7223,0,7223,,civil,,employment-related offenses,labor relations violation,,,02-CA-193861,,20190719,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2021,"ABM INDUSTRY GROUPS, LLC",LOS ANGELES,,8700 BEVERLY BLVD,CA,90048,,561790,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5625537,ABM Industries,US0009571003,771497,20220918,5750,0,5750,345150262,civil,,safety-related offenses,workplace safety or health violation,,561790: Other Services to Buildings and Dwellings,,"ABM INDUSTRY GROUPS, LLC",20210216,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2010,ABM JANITORIAL,SAN FRANCISCO,,575 MARKET STREET,CA,94105,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5490391,ABM Industries,US0009571003,771497,20220918,10400,0,10400,312690209,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,ABM JANITORIAL,20101122,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2014,"ABM Janitorial - South Central, Inc",Houston,,,TX,77002,,561720,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",678355,ABM Industries,US0009571003,771497,20170322,42877,0,42877,1726551,civil,,employment-related offenses,wage and hour violation,Fair Labor Standards Act,561720: Janitorial Services,1726551,,20140517,federal,agency action,,,,,ABM Industries,US0009571003,771497,
National Labor Relations Board,NLRB,2007,ABM Janitorial Services,King Of Prussia,,,PA,19406,back pay award in unfair labor practices case,561720,Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml,,739452,ABM Industries,US0009571003,771497,20170602,85000,0,85000,04-CA-34964-001,civil,,employment-related offenses,labor relations violation,,561720: Janitorial Services,04-CA-34964-001,,20070320,federal,agency action,,,,,ABM Industries,US0009571003,771497,
National Labor Relations Board,NLRB,2007,ABM Janitorial Services,San Francisco,,,CA,94103,back pay award in unfair labor practices case,561720,Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml,,738867,ABM Industries,US0009571003,771497,20170602,21990,0,21990,20-CA-33289-001,civil,,employment-related offenses,labor relations violation,,561720: Janitorial Services,20-CA-33289-001,,20071030,federal,agency action,,,,,ABM Industries,US0009571003,771497,
National Labor Relations Board,NLRB,2013,ABM Janitorial Services,Somerville,,,MA,,back pay award in unfair labor practices case,,Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.,,735294,ABM Industries,US0009571003,771497,20170602,6200,0,6200,01-CA-088871,civil,,employment-related offenses,labor relations violation,,,01-CA-088871,,20130612,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2007,ABM JANITORIAL SERVICES,NEW YORK,,227 WEST 27TH STREET (FIT-C BUILDING),NY,10001,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5480710,ABM Industries,US0009571003,771497,20220918,17500,0,17500,310692082,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,ABM JANITORIAL SERVICES,20070119,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2012,ABM JANITORIAL SERVICES,AUSTIN,,BARTON CREEK SQUARE MALL 2901 S. CAPITAL OF TEXAS,TX,78746,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5510316,ABM Industries,US0009571003,771497,20220918,6400,0,6400,315630152,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,ABM JANITORIAL SERVICES,20120126,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2005,ABM JANITORIAL SERVICES,NEW YORK,,SUNY FASHION INSTITUTE OF TECHNOLOGY/227 W 27 ST.,NY,10001,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5472447,ABM Industries,US0009571003,771497,20220918,6000,0,6000,308660760,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,ABM JANITORIAL SERVICES,20050505,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2012,"ABM Janitorial Services - North Central, Inc",Chicago,,,IL,60601,,561720,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",690387,ABM Industries,US0009571003,771497,20170322,11020,0,11020,1650712,civil,,employment-related offenses,wage and hour violation,Fair Labor Standards Act,561720: Janitorial Services,1650712,,20120512,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2014,"ABM JANITORIAL SERVICES - NORTHEAST, INC.",BASKING RIDGE,,136 MOUNTAIN VIEW BLVD,NJ,7920,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5537560,ABM Industries,US0009571003,771497,20220918,8330,0,8330,339800088,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,"ABM JANITORIAL SERVICES - NORTHEAST, INC.",20140604,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2010,"ABM Janitorial Services - Northeast, Inc.",Somerville,,,MA,2143,,561720,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",699914,ABM Industries,US0009571003,771497,20170322,7233,0,7233,1595651,civil,,employment-related offenses,wage and hour violation,Fair Labor Standards Act,561720: Janitorial Services,1595651,,20101210,federal,agency action,,,,,ABM Industries,US0009571003,771497,
California Labor Commissioner's Office,CA-LCO,2016,"ABM Janitorial Services - South Central, Inc.",,,,CA,,Janitorial Services,56172,https://mycadir.force.com/s,"Status as of August 10, 2022: Closed - Satisfied",5189544,ABM Industries,US0009571003,771497,20220918,14718,0,14718,,civil,,employment-related offenses,wage and hour violation,,56172: Janitorial Services,J-36808,,20160303,state,agency action,,,,,ABM Industries,US0009571003,771497,
California Labor Commissioner's Office,CA-LCO,2016,"ABM Janitorial Services - South Central, Inc.",,,,CA,,Janitorial Services,56172,https://mycadir.force.com/s,"Status as of August 10, 2022: Closed - Satisfied",5189543,ABM Industries,US0009571003,771497,20220918,11823,0,11823,,civil,,employment-related offenses,wage and hour violation,,56172: Janitorial Services,J-36789,,20160303,state,agency action,,,,,ABM Industries,US0009571003,771497,
California Labor Commissioner's Office,CA-LCO,2014,"ABM Janitorial Services - South Central, Inc.",,,,CA,,Janitorial Services,56172,https://mycadir.force.com/s,"Status as of August 10, 2022: Closed - Satisfied",5189707,ABM Industries,US0009571003,771497,20220918,9601,0,9601,,civil,,employment-related offenses,wage and hour violation,,56172: Janitorial Services,J-35674,,20141121,state,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2009,"ABM Janitorial Services - South Central, Inc.",Metairie,,,LA,70002,,561720,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",706476,ABM Industries,US0009571003,771497,20170322,9240,0,9240,1559132,civil,,employment-related offenses,wage and hour violation,Fair Labor Standards Act,561720: Janitorial Services,1559132,,20090920,federal,agency action,,,,,ABM Industries,US0009571003,771497,
